Dia,Cipreses,Rapel,El Toro,Colbún,Machicura,Canutillar,Pehuenche,Pangue,Ralco,Bocamina_II
1,185,150,5631,236,432,0,1298,890,0,6092
2,508,45,5734,3021,440,0,317,846,628,7127
3,1215,225,5774,2381,456,1133,3554,840,1864,7865
4,1080,640,5723,3108,456,628,8239,842,1083,7915
5,653,1390,5722,2276,456,1172,4637,905,755,7788
6,674,1495,5724,2899,432,1151,5607,1027,3847,7445
7,289,376,6208,1260,408,458,1487,1102,1698,7905
8,316,733,6207,1050,408,767,2467,1186,1203,6050
9,529,1126,6051,2041,408,1991,5270,2992,6011,0
10,631,1689,6035,3090,408,2093,3766,4249,5352,1029
11,582,1022,6086,3611,408,2252,3416,3613,5522,6169
12,667,380,6382,2313,408,2722,3587,4644,6140,0
13,780,1527,6531,1829,408,3703,4602,4771,6393,0
14,124,645,6591,792,408,1567,1685,1637,2809,0
15,232,0,6579,137,408,872,188,1394,731,0
16,649,419,6586,2310,408,2007,4996,3179,5413,0
17,410,746,6583,2409,408,2502,4060,2274,4733,4677
18,481,245,6598,1920,408,2023,2667,1280,2945,7901
19,479,476,6598,2295,408,1888,4321,1361,2691,7065
20,335,643,6592,3829,408,3130,2758,3455,5398,0
21,510,343,6590,1095,408,1809,2270,1449,2353,0
22,483,453,6610,1132,408,797,1834,1777,1314,4273
23,575,400,6609,1790,408,2842,4586,3248,5021,0
24,774,449,6774,2620,430,2773,3964,3238,4723,0
25,265,999,6984,3356,456,2531,5941,2759,3980,0
26,512,703,6967,3566,461,2494,3754,2098,3027,0
27,148,495,6977,2374,518,3525,3369,5663,6056,0
28,392,0,6980,335,456,3584,42,1692,5320,0
29,240,0,6947,594,456,1301,1617,1514,2176,0
30,240,432,6994,2478,530,2798,5974,2724,5041,0
31,348,413,6996,2870,596,1835,1370,1853,2742,6389
